Wavelength_nm,Response,ExcelInterp,CSVIntensityNorm,ShiftApplied,WL_Min_Filter
423.514130,0.79454457,0.01481938,0.011774658,2.374402,403.00
423.733063,0.57007851,0.015390744,0.0087739324,2.374402,403.00
423.951996,0.71520668,0.015956441,0.011412153,2.374402,403.00
424.170929,0.66070833,0.01660202,0.010969093,2.374402,403.00
424.389893,0.64966675,0.017225175,0.011190624,2.374402,403.00
424.608856,0.54622127,0.018090806,0.0098815829,2.374402,403.00
424.827850,0.65348019,0.018819658,0.012298273,2.374402,403.00
425.046845,0.60322901,0.019552767,0.011794796,2.374402,403.00
425.265869,0.58941578,0.02042101,0.012036466,2.374402,403.00
425.484894,0.60913766,0.021313742,0.012983003,2.374402,403.00
425.703949,0.59161914,0.022149109,0.013103837,2.374402,403.00
425.923004,0.63138115,0.0232422,0.014674687,2.374402,403.00
426.142029,0.58372449,0.024415226,0.014251765,2.374402,403.00
426.361114,0.55159746,0.025435643,0.014030236,2.374402,403.00
426.580200,0.57437956,0.026530507,0.015238581,2.374402,403.00
426.799316,0.57540255,0.027533341,0.015842755,2.374402,403.00
427.018433,0.58293642,0.028766692,0.016769152,2.374402,403.00
427.237579,0.56096898,0.030000891,0.01682957,2.374402,403.00
427.456726,0.5343391,0.031156841,0.016648318,2.374402,403.00
427.675873,0.53948595,0.032352802,0.017453882,2.374402,403.00
427.895019,0.62159982,0.033651565,0.020917807,2.374402,403.00
428.114197,0.57656872,0.034882646,0.020112243,2.374402,403.00
428.333404,0.51691299,0.036142189,0.018682367,2.374402,403.00
428.552612,0.53629036,0.037540076,0.02013238,2.374402,403.00
428.771851,0.54519942,0.039106036,0.021320588,2.374402,403.00
428.991089,0.49277526,0.04073249,0.020071963,2.374402,403.00
429.210327,0.51606174,0.042250617,0.021803927,2.374402,403.00
429.429596,0.51629631,0.043908715,0.022669907,2.374402,403.00
429.648865,0.51532348,0.045672066,0.023535888,2.374402,403.00
429.868133,0.50900064,0.047426385,0.024140061,2.374402,403.00
430.087433,0.54487154,0.04925693,0.026838699,2.374402,403.00
430.306763,0.51049331,0.051232741,0.026153972,2.374402,403.00
430.526093,0.53035654,0.053263108,0.028248437,2.374402,403.00
430.745422,0.50133463,0.055342195,0.027744959,2.374402,403.00
430.964783,0.52913304,0.057344563,0.030342903,2.374402,403.00
431.184174,0.52101032,0.059436851,0.030967213,2.374402,403.00
431.403534,0.49515642,0.061848842,0.030624851,2.374402,403.00
431.622955,0.49804393,0.064320805,0.032034587,2.374402,403.00
431.842346,0.51303758,0.066837529,0.034290164,2.374402,403.00
432.061737,0.49401959,0.069492069,0.034330443,2.374402,403.00
432.281189,0.48307655,0.072108488,0.03483392,2.374402,403.00
432.500641,0.4879095,0.074655052,0.036424909,2.374402,403.00
432.720093,0.49882648,0.077381476,0.038599929,2.374402,403.00
432.939575,0.48830012,0.080286903,0.039204104,2.374402,403.00
433.159058,0.49048487,0.08329617,0.040855511,2.374402,403.00
433.378571,0.49938655,0.086328091,0.043111088,2.374402,403.00
433.598083,0.49785616,0.089344173,0.044480547,2.374402,403.00
433.817596,0.4987013,0.092463788,0.046111811,2.374402,403.00
434.037109,0.51442888,0.095626617,0.049193094,2.374402,403.00
434.256653,0.50305597,0.09898952,0.049797269,2.374402,403.00
434.476227,0.49782477,0.10253787,0.051045894,2.374402,403.00
434.695801,0.50777139,0.10624057,0.053945921,2.374402,403.00
434.915405,0.49456938,0.11001312,0.054409119,2.374402,403.00
435.135010,0.50419639,0.11386406,0.057409847,2.374402,403.00
435.354614,0.50631908,0.1179211,0.059705704,2.374402,403.00
435.574249,0.49876181,0.12225168,0.060974466,2.374402,403.00
435.793915,0.49590835,0.12665067,0.062807124,2.374402,403.00
436.013519,0.49762103,0.13131408,0.065344649,2.374402,403.00
436.233215,0.51058079,0.13618526,0.06953358,2.374402,403.00
436.452881,0.51080221,0.14109396,0.072071105,2.374402,403.00
436.672577,0.50919981,0.14616537,0.074427378,2.374402,403.00
436.892304,0.50718481,0.15147128,0.076823931,2.374402,403.00
437.112030,0.50742714,0.15691567,0.079623271,2.374402,403.00
437.331757,0.52145244,0.16250494,0.084738595,2.374402,403.00
437.551514,0.51679276,0.16837371,0.087014314,2.374402,403.00
437.771271,0.52108112,0.17436994,0.090860885,2.374402,403.00
437.991058,0.49932734,0.18079692,0.090276843,2.374402,403.00
438.210815,0.51146709,0.18745197,0.095875513,2.374402,403.00
438.430603,0.50209001,0.19448257,0.097647758,2.374402,403.00
438.650421,0.52122347,0.20179401,0.10517977,2.374402,403.00
438.870239,0.52816658,0.20932205,0.11055691,2.374402,403.00
439.090088,0.52836388,0.21709579,0.11470557,2.374402,403.00
439.309936,0.50622866,0.22519605,0.1140007,2.374402,403.00
439.529816,0.51322398,0.23354554,0.11986117,2.374402,403.00
439.749695,0.51630662,0.24198069,0.12493623,2.374402,403.00
439.969574,0.52802814,0.25079718,0.13242797,2.374402,403.00
440.189484,0.51802714,0.25983772,0.13460299,2.374402,403.00
440.409363,0.5143733,0.26908333,0.13840928,2.374402,403.00
440.629303,0.53078569,0.27874757,0.14795522,2.374402,403.00
440.849243,0.5307582,0.2887792,0.15327193,2.374402,403.00
441.069214,0.51780405,0.29934856,0.1550039,2.374402,403.00
441.289185,0.53304962,0.31039529,0.16545609,2.374402,403.00
441.509155,0.53256754,0.32175606,0.17135684,2.374402,403.00
441.729156,0.53161519,0.33347003,0.17727773,2.374402,403.00
441.949188,0.53664518,0.34558069,0.18545421,2.374402,403.00
442.169190,0.53303972,0.35796808,0.1908112,2.374402,403.00
442.389191,0.5412684,0.37060876,0.20059881,2.374402,403.00
442.609253,0.53612248,0.38351954,0.20561345,2.374402,403.00
442.829315,0.53603286,0.39662065,0.2126017,2.374402,403.00
443.049377,0.53748997,0.40997092,0.22035526,2.374402,403.00
443.269470,0.54021022,0.42356415,0.22881368,2.374402,403.00
443.489563,0.54533238,0.43731209,0.23848044,2.374402,403.00
443.709686,0.53777308,0.45139845,0.24274994,2.374402,403.00
443.929810,0.54961698,0.46589149,0.25606188,2.374402,403.00
444.149963,0.54329108,0.48062042,0.26111679,2.374402,403.00
444.370117,0.55493713,0.4956109,0.27503289,2.374402,403.00
